;;;;;;Entwicklungskosten;;;;;;
;;;;;;Hardwareentwicklung;;;;230 h;;
;;;;;;Messungen;;;;85 h;;
;;;;;;Optimierungsarbeiten;;;;67 h;;
;;;;;;Dokumentation;;;;86 h;;
;;;;;;Gesamtarbeitszeit;;;;468 h;;
;;;;;;Stundenlohn (Techniker);;;;70,00 €;;
;;;;;;Gesamtentwicklungskosten;;;;32.760,00 €;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;Gesamtbetriebskosten;;;;;;
;;;;;;Bürofläche für 2 Personen;;;;20 m²;;
;;;;;;monatliche Miete;;;;5 € / m²;;
;;;;;;Dauer des Mietverhältnisses;;;;9 Monate;;
;;;;;;Gesamtmietkosten;;;;900,00 €;;
;;;;;;;;;;;;
;;;;;;Wasser;;;;25 € / Monat;;
;;;;;;Heizung;;;;85 € / Monat;;
;;;;;;Strom;;;;50 € / Monat;;
;;;;;;Internet & Telefon;;;;40 € / Monat;;
;;;;;;Betriebskosten;;;;1.800,00 €;;
;;;;;;;;;;;;
;;;;;;Gesamtbetriebskosten;;;;2.700,00 €;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;Fixkosten;;;;;;
;;;;;;Gesamtentwicklungskosten;;;;32.760,00 €;;
;;;;;;Gesamtbetriebskosten;;;;2.700,00 €;;
;;;;;;Fixkosten;;;;35.460,00 €;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Materialkosten;;;;;;Gewinn-Aufschlag;;;;;;
Bezeichnung;Wert;Distributor;Stück;Preis/Stück;Gesamtpreis;Variablekosten:;;;;;270,72€;
Widerstand;0,68;Reichelt;4;0,103 €;0,41€;Aufschalg ;;;;;20%;
;1;;4;;0,41€;Verkaufspreis / Stück :;;;;;324,87€;
;10;;1;;0,10€;;;;;;;
;100;;6;;0,62€;;;;;;;
;330;;1;;0,10€;Break-Even-Point;;;;;;
;560;;1;;0,10€;Fixkosten;;;;;35.460,00 €;
;820;;2;;0,21€;Verkaufspreis / Stück :;;;;;324,87€;
;3k3;;2;;0,21€;Break-Even-Point :;;;;;654,91 Stk;
;3k9;;2;;0,21€;;;;;;;
;4k7;;7;;0,72€;;;;;;;
;10k;;8;;0,82€;;;;;;;
;15k;;7;;0,72€;;;;;;;
;100k;;16;;1,65€;;;;;;;
;150k;;2;;0,21€;;;;;;;
;270k;;2;;0,21€;;;;;;;
Potentiometer;ACP 6-L 1k;Reichelt;5;0,21 €;1,05€;;;;;;;
;P06S-LIN 1k;Reichelt;1;3,99 €;3,99€;;;;;;;
Kondensatoren;100pF;Reichelt;2;0,14 €;0,28€;;;;;;;
;10nF;;6;;0,84€;;;;;;;
;22nF;;6;;0,84€;;;;;;;
;100nF;;15;;2,10€;;;;;;;
;220nF;;4;;0,56€;;;;;;;
;330nF;;4;;0,56€;;;;;;;
;470nF;;1;;0,14€;;;;;;;
Elektrolyt-Kondensatoren;1µF;Reichelt;1;0,15 €;0,15€;;;;;;;
;2,2µF;;2;0,09 €;0,18€;;;;;;;
;10µF;;29;0,08 €;2,32€;;;;;;;
;22µF;;2;0,09 €;0,18€;;;;;;;
;2200µF;;4;1,60 €;6,40€;;;;;;;
Dioden;1N4007;Reichelt;8;0,04 €;0,32€;;;;;;;
3mm-LED;Rot (2V, 20mA);Reichelt;1;0,09 €;0,09€;;;;;;;
OPV;TL082;Reichelt;4;0,24 €;0,96€;;;;;;;
;TDA2030;;4;0,73 €;2,92€;;;;;;;
Transitoren;BD243C;Reichelt;2;0,32 €;0,64€;;;;;;;
;BD244C;Reichelt;2;0,32 €;0,64€;;;;;;;
Spg.-Regel IC;LM317;Reichelt;1;0,38 €;0,38€;;;;;;;
Taster;6x6mm;Reichelt;6;0,131 €;0,79€;;;;;;;
Pfostenstecker;10pol.;Reichelt;2;0,091 €;0,18€;;;;;;;
Wannenstecker;10pol.;Reichelt;2;0,151 €;0,30€;;;;;;;
Klinken-Buchse;3,5mm (Stereo);Reichelt;1;0,29 €;0,29€;;;;;;;
Stiftleisten;2Pin;Reichelt;12;0,05 €;0,60€;;;;;;;
;3Pin;;6;0,071 €;0,43€;;;;;;;
;10Pin;;2;0,141 €;0,28€;;;;;;;
Schraubklemmen;2pol.;Reichelt;8;0,24 €;1,92€;;;;;;;
Bluetoothmodul;XS3868;Ebay;1;2,50 €;2,50€;;;;;;;
